#Exudyn explicit time integration (ExplicitEuler) solver solution file
#simulation started=2026-01-10,17:09:55
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [18,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [18,18,18,0,0,0,0]
#total columns exported  (excl. time) = 54
#number of time steps (planned) = 200
#Exudyn version = 1.10.0; Python3.11.11; Windows AVX2 FLOAT64
#
#solution information = DogEnv
#Exudyn explicit time integration (ExplicitEuler) solver solution file
#simulation started=2026-01-10,17:09:55
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [18,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [18,18,18,0,0,0,0]
#total columns exported  (excl. time) = 54
#number of time steps (planned) = 200
#Exudyn version = 1.10.0; Python3.11.11; Windows AVX2 FLOAT64
#
#solution information = DogEnv
0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,-2.698291235e-05,-1.033475105e-10,0.5496585677,5.205266655e-09,2.159431018e-05,-1.520239929e-07,-1.337926093e-07,1.261310741e-07,-1.336971551e-07,1.261077319e-07,-0.000428719751,-0.002414473978,-0.002389612603,-0.0004355251499,0.001059971392,0.005987062971,0.005997551882,0.001056981753,-0.003196726344,-1.663299957e-08,-0.05739312553,1.705822644e-07,0.0007685631352,-3.038133219e-05,-2.260610092e-05,2.246517599e-05,-2.256723388e-05,2.248561885e-05,-0.05112938033,-0.2849137985,-0.2850056034,-0.05120079143,0.1043251415,0.6012041326,0.6011128419,0.1043472683,0.01270451041,-1.128480482e-07,-2.877418983,-2.149012976e-05,-0.2185894823,0.0004581415197,0.0002256394515,-0.0002229730351,0.0002272731333,-0.0002208062507,0.4267283807,2.92312833,2.908184546,0.4568514429,-0.8727906443,-5.442144749,-5.390674338,-0.8888375381
0.02,-5.832081929e-05,-2.823981523e-10,0.5489924958,6.596933298e-09,2.3720413e-05,-4.365439176e-07,-3.513003048e-07,3.421216638e-07,-3.507929293e-07,3.423089505e-07,-0.000917747673,-0.005124590953,-0.005100429241,-0.0009247927935,0.002057907112,0.01172841848,0.01173856535,0.002054921373,-0.003072634224,-1.96052285e-08,-0.07213928173,1.316969526e-07,-5.456584107e-05,-2.682575149e-05,-2.08427137e-05,2.068605923e-05,-2.079845441e-05,2.070681346e-05,-0.04666245564,-0.2576390342,-0.2576897651,-0.04667213839,0.09516184783,0.5471127022,0.5470930897,0.09515719739,0.01160615241,-3.76886662e-07,-0.521143415,1.129998257e-08,-0.02153432513,0.0002865905603,0.0001956634932,-0.0001955714151,0.0001964879971,-0.0001954934815,0.4319115197,2.510906826,2.512450672,0.4326438246,-0.9019674585,-5.203146276,-5.20189316,-0.9021140192
#Exudyn explicit time integration (ExplicitEuler) solver solution file
#simulation started=2026-01-10,17:09:55
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [18,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [18,18,18,0,0,0,0]
#total columns exported  (excl. time) = 54
#number of time steps (planned) = 200
#Exudyn version = 1.10.0; Python3.11.11; Windows AVX2 FLOAT64
#
#solution information = DogEnv
